Word:			1	1b	2	2b	3	3b	4	4b	5	5b
glutton			0	0	0	0	0	0	0	0	0.00015	0
farmin'			0	0	0	0	0	0	0	8e-05	0	0
metallic		0	0	0	0	0	0.00015	0	0	0	0
intentions		0	0	0.00015	0	0	0	0	6e-05	0	0
cedars'			0	0	0	0	0	0	0.00011	0	0	0
ambulances		0	0	0.00017	8e-05	0.00042	0	8e-05	0	0	0
squared			0	4e-05	0	0	2e-05	0	5e-05	2e-05	3e-05	8e-05
nuisance		0	0	0.00021	0	0	0	0	0	0	0
chilly			0	0	0	0	0	0	0.00021	0	0	0
hotter			0.00012	0.00019	0	0	6e-05	0	0	0	0	0
poets			0	0	0.00021	0	0	0	0	0	0	0
unnatural		0	9e-05	0	0	0	0.00015	0	0	0	0.0001
hypocritical		0	0	0	0	0	0	0	0	0.00015	0
kennedy			0	9e-05	1e-05	1e-05	1e-05	7e-05	9e-05	0.0001	1e-05	2e-05
scorched		0	0	0	0.00013	0	0.00031	0	0	0	0
proficient		0.00024	0	0	0	0	0	0	0	0	0
meself			0.00024	0	0	0	0	0	0	0	0	0
meade			0	0	0.00035	0.0005	0.00057	3e-05	0.0001	0.00021	0.00017	0.00021
bound			2e-05	0	2e-05	2e-05	4e-05	7e-05	3e-05	2e-05	3e-05	0
pinchbeck		0	0	0	0	0	0	0	0	0.00029	0
training		0	0	8e-05	0	0	0	0.00017	3e-05	6e-05	0
functioning		0	0	0	0	0.00011	0	0	0	0	0
grudging		9e-05	0	8e-05	8e-05	0	6e-05	0	0	0	0
lopsided		0	0	0.00021	0	0	0	0	0	0	0
importunate		0.00016	0	0	0	0	0	0	0	0	0.00013
frequent		0.00012	0	0	0	0	0	0.00011	4e-05	0	0
ships			0	0	0.00015	0.00027	0	0	0	0	0	0
bo'ders			0	0	0	0	0	0.00015	0	0	0	0
fault			0	4e-05	2e-05	4e-05	2e-05	0	3e-05	8e-05	7e-05	9e-05
paying			4e-05	0	3e-05	3e-05	0	0	7e-05	4e-05	2e-05	3e-05
largest			4e-05	3e-05	0	6e-05	2e-05	2e-05	2e-05	0	7e-05	0
sores			0	0	0	0	0.00021	0	0	0	0	0
sunbonnet		0	0	0	0	0	0.00023	6e-05	4e-05	0	0
wormed			0	0.00018	0	0	0	0	0	0	0	0
capitulated		0	0	0	0	0	0	0	6e-05	0.0001	0
thronged		0	0.00013	0	0	0	0	0	0	0	0.00013
fumes			0	0	0	0	0	0	0.00011	0	0	0
gotterdammerung		0	0	0	0	0	0	7e-05	6e-05	0	0
proposition		0	0	0	0	6e-05	0	0.00017	4e-05	0	0
bible			4e-05	0	0	3e-05	2e-05	2e-05	2e-05	2e-05	2e-05	0
doomed			0	0	0	0.00013	7e-05	0	0	0	0	0
unabated		0	0	0	0	0.00011	0	0	0	0	0
candy			0	0	0	0.0004	0	0.0001	0	0	0	0
baker's			0	0	0	0	0	0	7e-05	0	0.0001	0
government's		0	0	0	0	0	0	0	8e-05	0	0
asset			0	0	0	0	0	0	0	0	0.00015	0
emotions		0	0.00012	0	0.00021	5e-05	0	0	4e-05	6e-05	0.00024
announcing		0.00033	0	0	0	0	0	7e-05	0	0	0
sickening		0	3e-05	7e-05	3e-05	5e-05	7e-05	3e-05	0	0	3e-05
coins			0	0	0	0.00057	0	0	0	0	0	0
eluded			0	0	0	6e-05	3e-05	4e-05	3e-05	0	4e-05	0
remained		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
swept			0	1e-05	3e-05	1e-05	4e-05	4e-05	3e-05	1e-05	2e-05	5e-05
ball			0.00022	0.00031	0.00013	0	7e-05	0	8e-05	1e-05	4e-05	0
regular			0	7e-05	0	0	0	6e-05	0	3e-05	0.00017	0
begins			0	0	0	0	0	0	7e-05	0	0	0.00026
december		0	0	0	0	0	0	0	6e-05	0	0.00013
congratulation		0	0	0	0	0	0	0	0	0	0.00018
minx			0	0	0.00021	0	0	0	0	0	0	0
finality		0	0	0	0	0	8e-05	6e-05	0	0	0.00019
boldly			9e-05	7e-05	0	0	4e-05	0	0	3e-05	0	0
brighter		9e-05	7e-05	0	0	0.00021	0	4e-05	0	0	0
irresolute		0	0	0	0	0	0	0	0	0	0.00037
retailed		0	0	0	0	0	0	0	6e-05	0.0001	0
entertainment		0	0.00013	0	0	0	0	0	0	0.0001	0
